"","grp_code","state","group","emp_rate","unemp_rate"
"19",26,"Alabama","Men, 16 to 19 years",18.1,32.3
"20",27,"Alabama","Men, 20 to 24 years",64.7,15
"21",28,"Alabama","Men, 25 to 34 years",79.2,7.2
"22",29,"Alabama","Men, 35 to 44 years",78.9,4.3
"23",30,"Alabama","Men, 45 to 54 years",73.8,5.3
"24",31,"Alabama","Men, 55 to 64 years",57.8,4.1
"25",32,"Alabama","Men, 65 years and over",21.7,1.9
"26",33,"Alabama","Women, 16 to 19 years",25.3,15.6
"27",34,"Alabama","Women, 20 to 24 years",55.7,13.2
"28",35,"Alabama","Women, 25 to 34 years",65.3,10.3
"29",36,"Alabama","Women, 35 to 44 years",65.9,5.6
"30",37,"Alabama","Women, 45 to 54 years",66.1,3.9
"31",38,"Alabama","Women, 55 to 64 years",48.5,2.2
"32",39,"Alabama","Women, 65 years and over",11.7,5.4
"49",27,"Alaska","Men, 20 to 24 years",70.6,10.1
"50",28,"Alaska","Men, 25 to 34 years",82.1,8.2
"51",29,"Alaska","Men, 35 to 44 years",81.4,5
"52",30,"Alaska","Men, 45 to 54 years",83.1,6.1
"53",31,"Alaska","Men, 55 to 64 years",65.9,6.5
"54",34,"Alaska","Women, 20 to 24 years",61.5,10.1
"55",35,"Alaska","Women, 25 to 34 years",66.6,6.4
"56",36,"Alaska","Women, 35 to 44 years",78,2.6
"57",37,"Alaska","Women, 45 to 54 years",73.8,4.5
"58",38,"Alaska","Women, 55 to 64 years",60.9,4.5
"78",26,"Arizona","Men, 16 to 19 years",24.3,29.8
"79",27,"Arizona","Men, 20 to 24 years",62.4,17.5
"80",28,"Arizona","Men, 25 to 34 years",77.8,8.8
"81",29,"Arizona","Men, 35 to 44 years",85.2,4.1
"82",30,"Arizona","Men, 45 to 54 years",76.3,6.5
"83",31,"Arizona","Men, 55 to 64 years",61.4,4.1
"84",32,"Arizona","Men, 65 years and over",17.6,9.5
"85",33,"Arizona","Women, 16 to 19 years",20.4,28.9
"86",34,"Arizona","Women, 20 to 24 years",54.2,14.3
"87",35,"Arizona","Women, 25 to 34 years",65.3,5.5
"88",36,"Arizona","Women, 35 to 44 years",64.1,6.7
"89",37,"Arizona","Women, 45 to 54 years",63.8,6.5
"90",38,"Arizona","Women, 55 to 64 years",52.3,5.5
"91",39,"Arizona","Women, 65 years and over",12.7,9.1
"111",26,"Arkansas","Men, 16 to 19 years",21.3,33.3
"112",27,"Arkansas","Men, 20 to 24 years",66.1,15.9
"113",28,"Arkansas","Men, 25 to 34 years",85.3,5.9
"114",29,"Arkansas","Men, 35 to 44 years",82.8,5
"115",30,"Arkansas","Men, 45 to 54 years",71.9,5.5
"116",31,"Arkansas","Men, 55 to 64 years",57.2,5.5
"117",32,"Arkansas","Men, 65 years and over",14.6,9.2
"118",34,"Arkansas","Women, 20 to 24 years",53,15.4
"119",35,"Arkansas","Women, 25 to 34 years",60,6.4
"120",36,"Arkansas","Women, 35 to 44 years",65.1,5.2
"121",37,"Arkansas","Women, 45 to 54 years",67.8,6
"122",38,"Arkansas","Women, 55 to 64 years",46.1,5.4
"123",39,"Arkansas","Women, 65 years and over",12.3,5.6
"143",26,"California","Men, 16 to 19 years",17.6,34
"144",27,"California","Men, 20 to 24 years",58.9,16
"145",28,"California","Men, 25 to 34 years",81.2,9.1
"146",29,"California","Men, 35 to 44 years",84.6,7.1
"147",30,"California","Men, 45 to 54 years",81.8,6.1
"148",31,"California","Men, 55 to 64 years",65.3,7.5
"149",32,"California","Men, 65 years and over",22.3,6.9
"150",33,"California","Women, 16 to 19 years",20,25.6
"151",34,"California","Women, 20 to 24 years",54.4,13.8
"152",35,"California","Women, 25 to 34 years",64.6,8
"153",36,"California","Women, 35 to 44 years",65,7.4
"154",37,"California","Women, 45 to 54 years",65.9,7.7
"155",38,"California","Women, 55 to 64 years",54.1,6.3
"156",39,"California","Women, 65 years and over",14.3,5
"176",26,"Colorado","Men, 16 to 19 years",25.3,29.1
"177",27,"Colorado","Men, 20 to 24 years",68.3,13.1
"178",28,"Colorado","Men, 25 to 34 years",84.6,7.1
"179",29,"Colorado","Men, 35 to 44 years",90.7,4.1
"180",30,"Colorado","Men, 45 to 54 years",85.8,4.3
"181",31,"Colorado","Men, 55 to 64 years",72.2,6.4
"182",32,"Colorado","Men, 65 years and over",24.4,4.3
"183",33,"Colorado","Women, 16 to 19 years",36,15.2
"184",34,"Colorado","Women, 20 to 24 years",64.4,10.2
"185",35,"Colorado","Women, 25 to 34 years",73.4,5.6
"186",36,"Colorado","Women, 35 to 44 years",72.5,4.5
"187",37,"Colorado","Women, 45 to 54 years",75.4,4.1
