"","year","grp_code","state","group","emp_rate","unemp_rate"
"213",2004,26,"California","Men, 16 to 19 years",30.2,22.4
"214",2004,27,"California","Men, 20 to 24 years",67.7,11.3
"215",2004,28,"California","Men, 25 to 34 years",85.9,5.8
"216",2004,29,"California","Men, 35 to 44 years",88.2,4.5
"217",2004,30,"California","Men, 45 to 54 years",83.1,4.5
"218",2004,31,"California","Men, 55 to 64 years",65.9,4.5
"219",2004,32,"California","Men, 65 years and over",18.8,5.4
"220",2004,33,"California","Women, 16 to 19 years",28.7,18.9
"221",2004,34,"California","Women, 20 to 24 years",64.1,8
"222",2004,35,"California","Women, 25 to 34 years",65.6,6.5
"223",2004,36,"California","Women, 35 to 44 years",66.8,5
"224",2004,37,"California","Women, 45 to 54 years",71.2,4.2
"225",2004,38,"California","Women, 55 to 64 years",53.6,4.5
"226",2004,39,"California","Women, 65 years and over",10.7,3.3
"2632",2005,26,"California","Men, 16 to 19 years",30.5,19.8
"2633",2005,27,"California","Men, 20 to 24 years",71.6,8.2
"2634",2005,28,"California","Men, 25 to 34 years",86.1,5
"2635",2005,29,"California","Men, 35 to 44 years",89.4,3.9
"2636",2005,30,"California","Men, 45 to 54 years",84,4.3
"2637",2005,31,"California","Men, 55 to 64 years",68.9,3.4
"2638",2005,32,"California","Men, 65 years and over",20,3.5
"2639",2005,33,"California","Women, 16 to 19 years",33.7,14.3
"2640",2005,34,"California","Women, 20 to 24 years",62.7,7.5
"2641",2005,35,"California","Women, 25 to 34 years",64.6,5.9
"2642",2005,36,"California","Women, 35 to 44 years",67.6,4.8
"2643",2005,37,"California","Women, 45 to 54 years",68.9,3.8
"2644",2005,38,"California","Women, 55 to 64 years",55,3.9
"2645",2005,39,"California","Women, 65 years and over",11.1,4.4
"5040",2006,26,"California","Men, 16 to 19 years",29.3,18.9
"5041",2006,27,"California","Men, 20 to 24 years",72.9,7.9
"5042",2006,28,"California","Men, 25 to 34 years",87.4,4.3
"5043",2006,29,"California","Men, 35 to 44 years",88.8,3.6
"5044",2006,30,"California","Men, 45 to 54 years",85.3,3.7
"5045",2006,31,"California","Men, 55 to 64 years",68.3,3.2
"5046",2006,32,"California","Men, 65 years and over",18.9,2.6
"5047",2006,33,"California","Women, 16 to 19 years",30.4,16
"5048",2006,34,"California","Women, 20 to 24 years",59.7,7.5
