"","year","grp_code","state","group","emp_rate","unemp_rate"
"189",2004,2,"California","Men",69.2,6.3
"190",2004,3,"California","Women",54.1,6
"2608",2005,2,"California","Men",70.4,5.2
"2609",2005,3,"California","Women",54,5.4
"5016",2006,2,"California","Men",70.4,4.7
"5017",2006,3,"California","Women",53.9,5
"7404",2007,2,"California","Men",70.2,5.5
"7405",2007,3,"California","Women",54.2,5.2
"9792",2008,2,"California","Men",68.7,7.4
"9793",2008,3,"California","Women",53.7,6.9
"12196",2009,2,"California","Men",63.8,12.3
"12197",2009,3,"California","Women",52,10
"14856",2010,2,"California","Men",62.6,12.9
"14857",2010,3,"California","Women",50.6,11.3
"17536",2011,2,"California","Men",62.6,11.9
"17537",2011,3,"California","Women",49.7,11.4
"20188",2012,2,"California","Men",63.3,10.4
"20189",2012,3,"California","Women",49.9,10.4
"22771",2013,2,"California","Men",64,9.1
"22772",2013,3,"California","Women",50.8,8.6
