"","year","grp_code","state","group","emp_rate","unemp_rate"
"192",2004,5,"California","White, men",70.4,6
"193",2004,6,"California","White, women",54.1,5.8
"195",2004,8,"California","Black or African American, men",57.3,11.6
"196",2004,9,"California","Black or African American, women",53.8,9.6
"198",2004,11,"California","Asian, men",67.6,5.3
"199",2004,12,"California","Asian, women",54.5,4.9
"201",2004,14,"California","Hispanic or Latino ethnicity, men",73.9,7.5
"202",2004,15,"California","Hispanic or Latino ethnicity, women",50.4,9.1
"2611",2005,5,"California","White, men",71.8,4.7
"2612",2005,6,"California","White, women",53.5,5.2
"2614",2005,8,"California","Black or African American, men",57.7,13.2
"2615",2005,9,"California","Black or African American, women",54.4,9.1
"2617",2005,11,"California","Asian, men",68.2,4.7
"2618",2005,12,"California","Asian, women",55.4,4.2
"2620",2005,14,"California","Hispanic or Latino ethnicity, men",75.6,5.6
"2621",2005,15,"California","Hispanic or Latino ethnicity, women",50.4,7.7
"5019",2006,5,"California","White, men",71.8,4.5
"5020",2006,6,"California","White, women",53.4,4.9
"5022",2006,8,"California","Black or African American, men",58.9,9.5
"5023",2006,9,"California","Black or African American, women",52.3,9.3
"5025",2006,11,"California","Asian, men",66.9,3.6
"5026",2006,12,"California","Asian, women",55.7,3.2
"5028",2006,14,"California","Hispanic or Latino ethnicity, men",75.9,5.5
"5029",2006,15,"California","Hispanic or Latino ethnicity, women",52.6,5.9
"7407",2007,5,"California","White, men",71.8,5.1
"7408",2007,6,"California","White, women",53.9,5.1
"7410",2007,8,"California","Black or African American, men",58.1,11.2
"7411",2007,9,"California","Black or African American, women",52.3,8.1
"7413",2007,11,"California","Asian, men",66.6,4.3
"7414",2007,12,"California","Asian, women",56.6,4
"7416",2007,14,"California","Hispanic or Latino ethnicity, men",75.9,6.2
"7417",2007,15,"California","Hispanic or Latino ethnicity, women",52.9,6.8
"9795",2008,5,"California","White, men",70,7.1
"9796",2008,6,"California","White, women",53.1,6.9
"9798",2008,8,"California","Black or African American, men",57,12.6
"9799",2008,9,"California","Black or African American, women",53.8,10.5
"9801",2008,11,"California","Asian, men",67.3,5
"9802",2008,12,"California","Asian, women",56.9,4.3
"9804",2008,14,"California","Hispanic or Latino ethnicity, men",72.7,9.2
"9805",2008,15,"California","Hispanic or Latino ethnicity, women",50.4,9.6
"12199",2009,5,"California","White, men",64.7,12.3
"12200",2009,6,"California","White, women",51.9,10
"12202",2009,8,"California","Black or African American, men",54.4,15.5
"12203",2009,9,"California","Black or African American, women",49.5,13.2
"12205",2009,11,"California","Asian, men",64.1,10
"12206",2009,12,"California","Asian, women",53.5,7.7
"12208",2009,14,"California","Hispanic or Latino ethnicity, men",66.2,15.4
"12209",2009,15,"California","Hispanic or Latino ethnicity, women",49.3,13.7
"14859",2010,5,"California","White, men",63.6,12.4
"14860",2010,6,"California","White, women",50.4,11.2
"14862",2010,8,"California","Black or African American, men",50.2,22.2
"14863",2010,9,"California","Black or African American, women",47.3,16.9
"14865",2010,11,"California","Asian, men",63.2,10.6
"14866",2010,12,"California","Asian, women",53.3,8.2
"14868",2010,14,"California","Hispanic or Latino ethnicity, men",65.8,14.8
"14869",2010,15,"California","Hispanic or Latino ethnicity, women",48,14.6
"17539",2011,5,"California","White, men",63.7,11.4
"17540",2011,6,"California","White, women",49.4,11
"17542",2011,8,"California","Black or African American, men",49.2,21.1
"17543",2011,9,"California","Black or African American, women",45.3,18
"17545",2011,11,"California","Asian, men",62.9,9.2
"17546",2011,12,"California","Asian, women",53.5,8.5
"17548",2011,14,"California","Hispanic or Latino ethnicity, men",66.1,13.6
"17549",2011,15,"California","Hispanic or Latino ethnicity, women",47.2,14.2
"20191",2012,5,"California","White, men",64.5,10.1
"20192",2012,6,"California","White, women",49.6,10.2
"20194",2012,8,"California","Black or African American, men",48.2,17.8
"20195",2012,9,"California","Black or African American, women",46,16.8
"20197",2012,11,"California","Asian, men",63.1,7.9
"20198",2012,12,"California","Asian, women",53.2,7.3
"20200",2012,14,"California","Hispanic or Latino ethnicity, men",67.2,12.1
"20201",2012,15,"California","Hispanic or Latino ethnicity, women",47.5,13.5
"22774",2013,5,"California","White, men",64.9,8.6
"22775",2013,6,"California","White, women",50.4,8.6
"22777",2013,8,"California","Black or African American, men",48.8,16.7
"22778",2013,9,"California","Black or African American, women",45.4,14.7
"22780",2013,14,"California","Hispanic or Latino ethnicity, men",68.7,9.7
"22781",2013,15,"California","Hispanic or Latino ethnicity, women",48.6,10.9
