"","grp_code","state","group","pop","ttl_labor","per_labor","ttl_emp","emp_rate","ttl_unemp","unemp_rate"
"1","01","Alabama","Total","3521","2179","61.899999999999999","2086","59.200000000000003","92","4.200000000000000"
"2","02","Alabama","Men","1672","1172","70.099999999999994","1127","67.400000000000006","45","3.800000000000000"
"3","03","Alabama","Women","1850","1007","54.500000000000000","960","51.899999999999999","48","4.700000000000000"
"4","04","Alabama","White","2554","1612","63.100000000000001","1563","61.200000000000003","50","3.100000000000000"
"5","05","Alabama","White, men","1243","902","72.599999999999994","878","70.700000000000003","24","2.600000000000000"
"6","06","Alabama","White, women","1311","710","54.200000000000003","684","52.200000000000003","26","3.700000000000000"
"7","07","Alabama","Black or African American","862","497","57.600000000000001","456","52.899999999999999","41","8.199999999999999"
"8","08","Alabama","Black or African American, men","377","234","61.899999999999999","213","56.500000000000000","20","8.699999999999999"
"9","09","Alabama","Black or African American, women","485","263","54.299999999999997","243","50.100000000000001","20","7.700000000000000"
"10","16","Alabama","Married men, spouse present","964","737","76.500000000000000","725","75.299999999999997","12","1.700000000000000"
"11","17","Alabama","Married women, spouse present","957","573","59.899999999999999","560","58.500000000000000","13","2.300000000000000"
"12","18","Alabama","Women who maintain families","251","161","64.200000000000003","150","59.899999999999999","11","6.600000000000000"
"13","19","Alabama","Total, 16 to 19 years","242","93","38.399999999999999","73","30.100000000000001","20","21.500000000000000"
"14","20","Alabama","Total, 20 to 24 years","321","211","65.799999999999997","194","60.500000000000000","17","8.100000000000000"
"15","21","Alabama","Total, 25 to 34 years","615","501","81.400000000000006","480","78.099999999999994","21","4.200000000000000"
"16","22","Alabama","Total, 35 to 44 years","617","507","82.099999999999994","495","80.200000000000003","12","2.300000000000000"
"17","23","Alabama","Total, 45 to 54 years","706","536","75.900000000000006","523","74.099999999999994","13","2.400000000000000"
"18","24","Alabama","Total, 55 to 64 years","473","267","56.299999999999997","258","54.500000000000000","9","3.300000000000000"
"19","25","Alabama","Total, 65 years and over","547","65","11.800000000000001","64","11.600000000000000","1","1.900000000000000"
"20","27","Alabama","Men, 20 to 24 years","169","118","70.099999999999994","110","65","9","7.300000000000000"
"21","28","Alabama","Men, 25 to 34 years","300","269","89.700000000000003","261","87","8","3"
"22","29","Alabama","Men, 35 to 44 years","294","270","91.900000000000006","266","90.700000000000003","4","1.400000000000000"
"23","30","Alabama","Men, 45 to 54 years","332","282","85","274","82.599999999999994","8","2.800000000000000"
"24","31","Alabama","Men, 55 to 64 years","236","151","63.799999999999997","146","61.899999999999999","4","3"
"25","34","Alabama","Women, 20 to 24 years","152","93","60.899999999999999","84","55.399999999999999","8","9"
"26","35","Alabama","Women, 25 to 34 years","315","232","73.500000000000000","219","69.500000000000000","13","5.400000000000000"
"27","36","Alabama","Women, 35 to 44 years","324","237","73.200000000000003","229","70.700000000000003","8","3.400000000000000"
"28","37","Alabama","Women, 45 to 54 years","374","254","67.900000000000006","249","66.599999999999994","5","1.900000000000000"
"29","38","Alabama","Women, 55 to 64 years","237","116","48.899999999999999","112","47","4","3.800000000000000"
"30","40","Alabama","White, 16 to 19 years","151","66","43.399999999999999","56","37","10","14.900000000000000"
"31","41","Alabama","White, 20 to 24 years","210","150","71.299999999999997","142","67.799999999999997","7","4.900000000000000"
"32","42","Alabama","White, 25 to 34 years","412","339","82.200000000000003","329","79.900000000000006","10","2.800000000000000"
"33","43","Alabama","White, 35 to 44 years","462","385","83.400000000000006","377","81.700000000000003","8","2"
"34","44","Alabama","White, 45 to 54 years","524","409","78.099999999999994","400","76.299999999999997","9","2.300000000000000"
"35","45","Alabama","White, 55 to 64 years","364","212","58.299999999999997","207","56.799999999999997","5","2.400000000000000"
"36","46","Alabama","White, 65 years and over","431","52","12.100000000000000","51","11.900000000000000","1","1.400000000000000"
"37","48","Alabama","Black or African American, 20 to 24 years","102","55","53.799999999999997","45","44.700000000000003","9","17"
"38","49","Alabama","Black or African American, 25 to 34 years","171","140","82","130","75.799999999999997","11","7.600000000000000"
"39","50","Alabama","Black or African American, 35 to 44 years","138","108","77.799999999999997","104","75.099999999999994","4","3.600000000000000"
"40","51","Alabama","Black or African American, 45 to 54 years","165","115","69.700000000000003","111","67.700000000000003","3","3"
"41","01","Alaska","Total","473","341","72.099999999999994","318","67.299999999999997","23","6.700000000000000"
"42","02","Alaska","Men","236","182","77.200000000000003","169","71.299999999999997","14","7.600000000000000"
